method,eta0,alpha,penalty,class_weight,val_pr_auc,test_pr_auc,runtime_s,seed,fold
grid_search,0.001,0.0001,l1,balanced,0.2014640331093269,,0.7188726931810379,42,predefined_split
grid_search,0.003,0.0001,l2,balanced,0.18177668555865956,,0.7188726931810379,42,predefined_split
grid_search,0.003,0.0001,l1,balanced,0.19887235120135976,,0.7188726931810379,42,predefined_split
grid_search,0.01,0.0001,l2,balanced,0.15505947521073044,,0.7188726931810379,42,predefined_split
grid_search,0.01,0.0001,l1,balanced,0.18398094764278616,,0.7188726931810379,42,predefined_split
grid_search,0.0001,0.001,l2,,0.1991315721291007,,0.7188726931810379,42,predefined_split
grid_search,0.0001,0.001,l1,,0.19851881532988935,,0.7188726931810379,42,predefined_split
grid_search,0.0003,0.001,l2,,0.20016277769972643,,0.7188726931810379,42,predefined_split
grid_search,0.0003,0.001,l1,,0.19854119437591905,,0.7188726931810379,42,predefined_split
grid_search,0.001,0.001,l2,,0.20296935516182274,,0.7188726931810379,42,predefined_split
grid_search,0.001,0.001,l1,,0.19893799522554623,,0.7188726931810379,42,predefined_split
grid_search,0.003,0.001,l2,,0.20416723380976332,,0.7188726931810379,42,predefined_split
grid_search,0.003,0.001,l1,,0.19358120664896936,,0.7188726931810379,42,predefined_split
grid_search,0.01,0.001,l2,,0.19163295488178245,,0.7188726931810379,42,predefined_split
grid_search,0.01,0.001,l1,,0.19827753352295985,,0.7188726931810379,42,predefined_split
grid_search,0.0001,0.001,l2,balanced,0.1994788687172966,,0.7188726931810379,42,predefined_split
grid_search,0.0001,0.001,l1,balanced,0.19812386609191684,,0.7188726931810379,42,predefined_split
grid_search,0.0003,0.001,l2,balanced,0.20158236934326534,,0.7188726931810379,42,predefined_split
grid_search,0.0003,0.001,l1,balanced,0.19888078372301177,,0.7188726931810379,42,predefined_split
grid_search,0.001,0.001,l2,balanced,0.2008717777950153,,0.7188726931810379,42,predefined_split
grid_search,0.001,0.001,l1,balanced,0.1991759658007503,,0.7188726931810379,42,predefined_split
grid_search,0.003,0.001,l2,balanced,0.19835145371412563,,0.7188726931810379,42,predefined_split
grid_search,0.003,0.001,l1,balanced,0.19990653928465763,,0.7188726931810379,42,predefined_split
grid_search,0.01,0.001,l2,balanced,0.17014539158072772,,0.7188726931810379,42,predefined_split
grid_search,0.01,0.001,l1,balanced,0.19957834822784892,,0.7188726931810379,42,predefined_split
bayesian_opt,0.0024413628451599415,0.0001371194722561852,l2,,0.2058,,1.9844,42,train_val_split
bayesian_opt,0.0024731362621105025,0.00011611289549917498,l2,,0.205,,2.008,42,train_val_split
bayesian_opt,0.0033007893429195735,2.355459728394063e-06,l2,,0.2042,,2.4487,42,train_val_split
bayesian_opt,0.0025781710347180173,1.5410764038547375e-05,l2,,0.2042,,2.6612,42,train_val_split
bayesian_opt,0.0036457827281324504,3.141324182278202e-07,l2,,0.2042,,2.5956,42,train_val_split
bayesian_opt,0.003952026789754043,3.3561016562754395e-06,l2,,0.2042,,2.6077,42,train_val_split
bayesian_opt,0.00432239884362864,1.5618020905062012e-07,l2,,0.2041,,2.5806,42,train_val_split
bayesian_opt,0.004692838764670136,1.0714845538373156e-07,l2,,0.2041,,2.4361,42,train_val_split
bayesian_opt,0.004739660437214958,3.1900682859199995e-06,l2,,0.2041,,2.66,42,train_val_split
bayesian_opt,0.0020690550086963316,2.78810122813816e-07,l2,,0.2041,,2.4622,42,train_val_split
bayesian_opt,0.0019149285027836357,1.2281966802746856e-06,l2,,0.204,,2.4257,42,train_val_split
bayesian_opt,0.0018844222839107551,5.351416165734615e-06,l2,,0.2039,,2.224,42,train_val_split
